Configuration,Wins for X,Wins for O,Draws,Average Game Duration
"RandomAIAgent vs MCTSAgent, 100 iterations",10,90,0,0.0797394871711731
"MCTSAgent vs RandomAIAgent, 100 iterations",98,2,0,0.07546758890151978
"AStarAgent vs MCTSAgent, 100 iterations",99,1,0,0.08551723718643188
"MCTSAgent vs AStarAgent, 100 iterations",7,92,1,0.14820459127426147
,,,,
"RandomAIAgent vs MCTSAgent, 500 iterations",1,99,0,0.3487849283218384
"MCTSAgent vs RandomAIAgent, 500 iterations",99,1,0,0.36334309339523313
"AStarAgent vs MCTSAgent, 500 iterations",83,12,5,0.48580528497695924
"MCTSAgent vs AStarAgent, 500 iterations",21,78,1,0.634970736503601
,,,,
"RandomAIAgent vs MCTSAgent, 1000 iterations",1,99,0,0.8474722838401795
"MCTSAgent vs RandomAIAgent, 1000 iterations",100,0,0,0.695043318271637
"AStarAgent vs MCTSAgent, 1000 iterations",70,22,8,0.9712005639076233
"MCTSAgent vs AStarAgent, 1000 iterations",31,67,2,1.2742680382728577
,,,,
"RandomAIAgent vs MCTSAgent, 2000 iterations",0,100,0,1.2723799133300782
"MCTSAgent vs RandomAIAgent, 2000 iterations",100,0,0,1.4866193318367005
"AStarAgent vs MCTSAgent, 2000 iterations",62,34,4,2.9369221258163454
"MCTSAgent vs AStarAgent, 2000 iterations",44,49,7,4.610281190872192
,,,,
"RandomAIAgent vs MCTSAgent, 4000 iterations",0,100,0,2.04994423866272
"MCTSAgent vs RandomAIAgent, 4000 iterations",100,0,0,2.853732416629791
"AStarAgent vs MCTSAgent, 4000 iterations",36,52,12,5.8861748266220095
"MCTSAgent vs AStarAgent, 4000 iterations",58,37,5,6.346394364833832
,,,,
"RandomAIPlayer vs MCTSPlayer, 10000 iterations",0,100,0,5.513738334178925
"MCTSPlayer vs RandomAIPlayer, 10000 iterations",100,0,0,6.694827265739441
"AStarAgent vs MCTSAgent, 10000 iterations",30,56,14,12.017140183448792
"MCTSAgent vs AStarAgent, 10000 iterations",65,30,5,12.634736268520355
